Year,0.167,0.5,0.833
2010,0,0,0
2020,4,6.8,9.7
2030,8.1,12,16.3
2040,12.8,18.3,24.6
2050,19.7,26.6,34.9
2060,26.3,35.2,46.2
2070,34.3,45.8,60.2
2080,43.1,57.4,75.5
2090,54,70.9,92.9
2100,65.2,85,111.7
2110,70.1,97,131.4
2120,80.2,110.8,150.4
2130,89.9,124.2,168.8
2140,99,136.8,186.7
2150,107.5,148.9,203.9
